species	type	location	rxn	time
1	I	4	Sample_recovery	100.00000413
2	I	4	Sample_recovery	100.00000537
3	I	4	Sample_recovery	94.69933498
4	I	0	Sample_recovery	100.00000648
5	I	4	Sample_recovery	85.46289377
6	I	4	Sample_recovery	100.00000980
7	I	4	Sample_recovery	98.85656185
8	I	4	Sample_recovery	80.37825439
9	I	4	Sample_recovery	67.48016739
10	I	4	Sample_recovery	100.00000932
11	I	4	Sample_recovery	86.79919469
12	I	4	Sample_recovery	100.00000591
13	I	4	Sample_recovery	87.71209268
14	I	4	Sample_recovery	73.06902948
15	I	2	Sample_recovery	100.00000339
16	I	4	Sample_recovery	99.21131420
17	I	4	Sample_recovery	77.75823049
18	I	4	Sample_recovery	84.04978904
19	I	4	Sample_recovery	75.37845980
20	I	4	Sample_recovery	90.52566298
21	I	4	Sample_recovery	100.00000472
22	I	4	Sample_recovery	99.14583488
23	I	3	Sample_recovery	91.33665581
24	I	3	Sample_recovery	85.20077320
25	I	4	Sample_recovery	97.19998543
26	I	3	Sample_recovery	98.00849918
27	I	3	Sample_recovery	93.00932708
28	I	4	Sample_recovery	100.00000330
29	I	1	Sample_recovery	98.77206309
30	I	2	Sample_recovery	85.42312878
31	I	2	Sample_recovery	100.00000524
32	I	2	Sample_recovery	67.30653276
33	I	3	Sample_recovery	96.27908634
34	I	4	Sample_recovery	100.00000143
35	I	4	Sample_recovery	94.88105534
36	I	4	Sample_recovery	95.12390639
37	I	4	Sample_recovery	86.75628421
38	I	4	Sample_recovery	94.51015879
39	I	4	Sample_recovery	80.83733522
40	I	0	Sample_recovery	88.62307069
41	I	4	Sample_recovery	88.71605456
42	I	4	Sample_recovery	100.00000557
43	I	4	Sample_recovery	96.32826983
44	I	4	Sample_recovery	100.00000651
